uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"58db2bdb-edc9-4cf9-a38c-80231188b052","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.4","A00000153344",,"SIMSP","Y","Simuliidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Simuliidae",,,,,"sp.",,"larva",1,,1,100,1,"Y","N","condition OK","Y",,"Adler et al. 2004; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb","likely Simulium",
"f6dbdcdc-a09b-48e8-b887-ee0f6d3fd171","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"SIMSP","Y","Simuliidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Simuliidae",,,,,"sp.",,"larva",1,,4,53,8,"Y","N","condition OK","N",,"Adler et al. 2004; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"9b091cd8-57dd-4a53-aa0c-3777f5bbf114","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"EPEPLE1","Y","Epeorus pleuralis gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera",,,,"Heptageniidae",,,,"Epeorus","pleuralis gr.",,"larva",7,,1,93,1,"Y","N","condition OK","Y",,"Webb and McCafferty 2006","Y","Rhithron Associates, Inc.","J. Webb",,
"5fc9acb4-217a-42b7-8613-bad09366fce0","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"PROSP21","Y","Prosimulium sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Simuliidae","Simuliinae","Prosimuliini",,"Prosimulium","sp.",,"larva",2,,7,93,8,"N","N","condition OK","Y",,"Adler et al. 2004; Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,
"f2d18662-98c3-4922-8e7a-c9627b7a928b","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.3","A00000153345",,"HEMSP4","Y","Hemerodromia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","Muscomorpha",,"Empididae","Hemerodromiinae","Hemerodromiini",,"Hemerodromia","sp.",,"larva",1,,1,100,1,"N","N","condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"8eb2dc53-aa01-41fc-a624-62756d206ea1","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.3","A00000153345",,"POLFLA1","Y","Polypedilum flavum",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","flavum",,"larva",3,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2015","N","Rhithron Associates, Inc.","A. Fasbender",,
"3e7c5aa2-911d-4491-b26a-edf5504c65ed","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.5","A00000153343",,"TVESP","Y","Tvetenia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Tvetenia","sp.",,"larva",3,,5,93,5,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","A. Fasbender",,
"e32e3964-e07f-41c0-bab5-4e3935618fc1","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"OULSP","Y","Oulimnius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Oulimnius","sp.",,"larva",2,,5,53,9,"N","N","condition OK","N",,"Epler 2010; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"04a6ff04-2d6d-461c-b888-22aa8a064029","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"HELSP10","Y","Heleniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Heleniella","sp.",,"larva",4,,1,53,2,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"080311a6-96e1-4ca0-86c8-2b782bdb2707","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"AMPSP13","Y","Amphinemura sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Nemouridae","Amphinemurinae",,,"Amphinemura","sp.",,"larva",2,,1,53,2,"N","N","condition OK","Y",,"Baumann et al. 1977; Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"46a40c51-b020-4bc3-919c-779452648558","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.3","A00000153345",,"STESP10","Y","Stempellinella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Stempellinella","sp.",,"larva",1,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,
"ef640669-dda4-4d55-aa5b-b59e4aa4c966","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.4","A00000153344",,"STESP10","Y","Stempellinella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Stempellinella","sp.",,"larva",1,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,
"29317708-7ebe-44a9-a351-656bbf89d6e7","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.4","A00000153344",,"HETSP11","Y","Heterocloeon sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Baetidae",,,,"Heterocloeon","sp.",,"larva",3,,3,100,3,"N","N","condition OK","Y",,"Merritt et al. 2019; McCafferty, Waltz, Webb, and Jacobus, 2005","N","Rhithron Associates, Inc.","J. Webb","amplum",
"dbaec4ea-08a2-4d45-9cf5-29d6f6c08952","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.CORE.1","A00000153342",,"HEXSP3","Y","Hexatoma sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Tipulomorpha",,"Tipulidae","Limoniinae","Hexatomini",,"Hexatoma","sp.",,"larva",7,,1,100,1,"N","N","condition OK","Y",,"Gelhaus and Podeniene 2018; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"415a0650-288f-4e4e-b348-8d658c2c38ae","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"PERSP2","Y","Perlodidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Perlodidae",,,,,"sp.",,"larva",3,,1,93,1,"Y","N","condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,
"e2e4a889-0487-48da-9e21-e655c167ac32","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.1","A00000153347","BA22NEOMST18004O1","NAICOM","Y","Nais communis/variabilis",,"speciesGroup","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae","Naidinae",,,"Nais","communis/variabilis",,"none",3,,6,53,11,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender",,
"dd0d40f7-dd8a-40e5-a19f-6b373cd69f0e","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"PSEHER","Y","Psephenus herricki",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Psephenidae","Psepheninae",,,"Psephenus","herricki",,"larva",4,,1,93,1,"N","N","condition OK","Y",,"Merritt et al. 2019; Brown and Murvosh 1974","Y","Rhithron Associates, Inc.","J. Webb",,
"2850d6af-54d4-42c1-9edb-a5d4f541605c","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"TVESP","Y","Tvetenia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Tvetenia","sp.",,"larva",3,,1,53,2,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"ffb3727f-a0fa-463d-ad7e-71e706ec366f","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"TANSP11","Y","Tanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Tanytarsus","sp.",,"larva",2,,16,53,30,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"d6ae8cdc-d7bf-4e42-b5cd-e6603e98e5b3","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.CORE.3","A00000153340",,"BAETRI2","Y","Baetis tricaudatus cx.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera",,,,"Baetidae",,,,"Baetis","tricaudatus cx.",,"larva",5,,1,100,1,"N","N","condition OK","Y",,"Morihara and McCafferty 1979; Wiersema, 2004; Webb et al. 2018","N","Rhithron Associates, Inc.","J. Webb",,
"9730444d-4389-46d4-8805-2cef9603eb92","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.CORE.2","A00000153341",,"NEOREI","Y","Neostempellina reissi",,"species","Arthropoda",,"Insecta",,,,"Diptera",,,,"Chironomidae",,,,"Neostempellina","reissi",,"larva",2,,3,100,3,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"9fdefa97-d6ee-4166-822f-ce7fe18eed17","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"OPTSP","Y","Optioservus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Optioservus","sp.",,"larva",4,,1,93,1,"N","N","condition OK","Y",,"Brown 1972; Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,
"c8d6508c-a4cc-4d03-8e7e-0abc4a2f89de","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"LEUSP2","Y","Leuctridae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Leuctridae",,,,,"sp.",,"larva",2,,3,100,3,"Y","N","condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"c7d8ad22-f395-4c62-990b-10a86e78c2cf","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.4","A00000153344",,"THISP2","Y","Thienemanniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Thienemanniella","sp.",,"larva",2,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,
"e4475567-2bbb-4552-b158-09646906be0b","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"CHESP5","Y","Cheumatopsyche sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Hydropsychoidea","Hydropsychidae","Hydropsychinae",,,"Cheumatopsyche","sp.",,"larva",7,,2,93,2,"N","N","condition OK","Y",,"Flint et al. 2004; Wiggins 1996; Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,
"db6fe214-ede2-464d-8449-79e5719d0303","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.5","A00000153343",,"EUKCLA","Y","Eukiefferiella claripennis gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Eukiefferiella","claripennis gr.",,"larva",2,,4,93,4,"N","N","condition OK","Y",,"Weiderholm, 1983; Bode, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","A. Fasbender",,
"b520edfb-15ac-4e17-b209-2edb65d1fddc","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"THIGRO","Y","Thienemannimyia gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Thienemannimyia","gr.",,"larva",3,,3,53,6,"Y","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2017","N","Rhithron Associates, Inc.","R. Spring",,
"31a76c89-0fd0-4691-b130-f3cfb3b4d955","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.4","A00000153344","BA22NEOMST18007O1","NAICOM","Y","Nais communis/variabilis",,"speciesGroup","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae","Naidinae",,,"Nais","communis/variabilis",,"none",3,,2,100,2,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender",,
"817b5729-f3b1-4ee9-ab9b-6627833f6ceb","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.4","A00000153344",,"ATRSP3","Y","Atractides sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Hygrobatoidea","Hygrobatidae",,,,"Atractides","sp.",,"adult",1,,1,100,1,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,
"fdf5d86b-f10f-4e6f-922b-4042ae56d548","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"NEOSP13","Y","Neophylax sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Limnephiloidea","Uenoidae","Thremmatinae",,,"Neophylax","sp.",,"larva",1,,1,100,1,"Y","N","condition OK","Y",,"Vineyard 1990; Wiggins 1996; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"15aa0136-f8cc-40e7-8d30-e15bb400a19b","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"TANSP11","Y","Tanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Tanytarsus","sp.",,"larva",2,,8,100,8,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"0673e5f1-c4cb-407e-ac9d-e48bbe3db4ec","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.CORE.3","A00000153340","BA22NEOMST18003O1","ENCSP1","Y","Enchytraeidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Enchytraeida",,,,"Enchytraeidae",,,,,"sp.",,"none",1,,2,100,2,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender",,
"12e03567-8039-481c-be03-1045ae1cf47c","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z",,"HOPB.20220411.SURBER.2","A00000153346",,"COLSP1","Y","Collembola sp.",,"order","Arthropoda","Hexapoda","Collembola",,,,"Collembola",,,,,,,,,"sp.",,"none",1,,3,100,3,"N","N","condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore","Podura",
"0fe343fd-eb41-4be7-a505-0c6c64ab99f9","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.CORE.1","A00000153342","BA22NEOMST18001O1","ENCSP1","Y","Enchytraeidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Enchytraeida",,,,"Enchytraeidae",,,,,"sp.",,"none",1,,1,100,1,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender",,
"6e173392-aa35-4391-b0bf-784aa151dc9d","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"PERSP2","Y","Perlodidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Perlodidae",,,,,"sp.",,"larva",2,,3,53,6,"Y","N","condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"5843ceeb-f9b9-4e2a-b433-33a92cc859dc","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"ORTSP3","Y","Orthocladius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Orthocladius","sp.",,"larva",2,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"dc376a1b-ed8b-4e62-9ec8-0308f505bb81","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.5","A00000153343",,"TVESP","Y","Tvetenia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Tvetenia","sp.",,"pupa",2,,4,93,4,"N","N","condition OK","N",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","A. Fasbender",,
"e3348b89-2805-493e-9f77-b69f90da20d0","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"STESP6","Y","Stenelmis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Stenelmis","sp.",,"larva",5,,1,100,1,"N","N","condition OK","Y",,"Brown 1972; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"e30bfbcd-3630-43b7-b626-a539e98e98d8","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.4","A00000153344",,"ORTEUO","Y","Orthocladius (Euorthocladius) sp.",,"subgenus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Orthocladius","sp.",,"larva",4,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,
"377acb53-2192-48cc-8e5b-8e995c56aad5","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"STESP6","Y","Stenelmis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Stenelmis","sp.",,"larva",2,,3,93,3,"N","N","condition OK","Y",,"Brown 1972; Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,
"6864bfd5-efcf-4062-9583-1e68568c48ac","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"STESP10","Y","Stempellinella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Stempellinella","sp.",,"larva",1,,2,53,4,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"7cf5aa1b-a53a-40dd-8bc4-68b952144cbe","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.5","A00000153343",,"THISP2","Y","Thienemanniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Thienemanniella","sp.",,"larva",2,,7,93,8,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","A. Fasbender",,
"7eb627f3-12d9-4b75-8b53-3504d6ff79a2","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"RHYATR","Y","Rhyacophila atrata",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Rhyacophiloidea","Rhyacophilidae",,,,"Rhyacophila","atrata",,"larva",5,,1,100,1,"N","N","condition OK","Y",,"Prather and Morris 2001; Morse et al. 2017; Giersch et al. 2012","N","Rhithron Associates, Inc.","J. Webb","Reference Collection(1)",
"9b8b95b8-b78d-4631-bc46-7b1e38c1c037","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.4","A00000153344",,"PARSP26","Y","Parametriocnemus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parametriocnemus","sp.",,"larva",3,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,
"e7372761-ede9-4d61-9ee9-abbf1f31aad2","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.4","A00000153344",,"EPHSP4","Y","Ephemerella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae",,,,"Ephemerella","sp.",,"larva",2,,7,100,7,"Y","N","condition OK","Y",,"Allen and Edmunds 1965; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"b4a6dcbc-164c-433e-b87c-5632ccd6fee4","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"EPESP","Y","Epeorus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Epeorus","sp.",,"larva",1,,4,93,4,"Y","N","condition OK","Y",,"Merritt et al. 2019; Burian et al. 2008","Y","Rhithron Associates, Inc.","J. Webb",,
